FileName;Group;Genotype;Condition;ShortName
GSM2834531_A549_Mock_A.CEL;A549.Mock;WT;Mock;A549.Mock.A
GSM2834532_A549_Mock_B.CEL;A549.Mock;WT;Mock;A549.Mock.B
GSM2834533_A549_Mock_C.CEL;A549.Mock;WT;Mock;A549.Mock.C
GSM2834534_A549_Virus_A.CEL;A549.Virus;WT;Virus;A549.Virus.A
GSM2834535_A549_Virus_B.CEL;A549.Virus;WT;Virus;A549.Virus.B
GSM2834536_A549_Virus_C.CEL;A549.Virus;WT;Virus;A549.Virus.C
GSM2834537_A549-KO3_Mock_A.CEL;A549.KO3.Mock;KO;Mock;A549.KO3.Mock.A
GSM2834538_A549-KO3_Mock_B.CEL;A549.KO3.Mock;KO;Mock;A549.KO3.Mock.B
GSM2834539_A549-KO3_Mock_C.CEL;A549.KO3.Mock;KO;Mock;A549.KO3.Mock.C
GSM2834540_A549-KO3_Virus_A.CEL;A549.KO3.Virus;KO;Virus;A549.KO3.Virus.A
GSM2834541_A549-KO3_Virus_B.CEL;A549.KO3.Virus;KO;Virus;A549.KO3.Virus.B
GSM2834542_A549-KO3_Virus_C.CEL;A549.KO3.Virus;KO;Virus;A549.KO3.Virus.C